Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
573352,573352 40W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573428,573428 40W Med Led 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573386,573386 60W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564948,564948 40W Led Med 50k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573303,573303 40W Led Cand 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573188,573188 250W Led Par38 Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573469,573469 40W Led A19 Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565671,565671 25W Led Med 20K,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573204,573204 75W Led Par20 Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
581199,581199 60W Led Med 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565887,565887 60W Led Med 20k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
586867,586867 60W Led Med 27K,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
568451,5686451 50W Led Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
568444,568444 90W Led Par38 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
573196,573196 75W Led Med 30K,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
564500,564500 75W Adj Base 50k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
571513,571513 40/60/100 Led Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
588566,588566 40W Led Med 55k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565655,565655 25W Led A15 Med 20k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
565812,565812 60W Med Led 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
586917,586917 40W Led Cand 27K 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
